,id,position,trackname,artist,streams,url,date,region
62,237862,63,Bad and Boujee (feat. Lil Uzi Vert),Migos,16628,https://open.spotify.com/track/4Km5HrUvYTaSUfi...,2017-03-18 00:00:00,fi
63,46741,142,Would You Ever,Skrillex,2258,https://open.spotify.com/track/57p8CBvPOxrvyCb...,2017-08-25 00:00:00,ec
64,455547,44,First Time,Kygo,1224,https://open.spotify.com/track/2Gl0FzuLxflY6nP...,2017-07-12 00:00:00,lt
65,722663,42,366.Gün,Sagopa Kajmer,14090,https://open.spotify.com/track/1EuFr1JA70TaEzl...,2017-05-07 00:00:00,tr
66,68304,105,Vacaciones,Wisin,2803,https://open.spotify.com/track/1rXojdsUqqxGj2W...,2017-12-11 00:00:00,ec
67,580298,100,All Night,Girls' Generation,3808,https://open.spotify.com/track/1UwERmn5UogyCz6...,2017-08-12 00:00:00,tw
68,546257,59,"開門關門 - From '52Hz, I Love You' Soundtr...",張榕容,6390,https://open.spotify.com/track/1RikH0jSgDFYXpN...,2017-02-20 00:00:00,tw
69,137154,155,Shine on my Way,Diva Faune,24832,https://open.spotify.com/track/1LCdHocTe3wvSEP...,2017-11-14 00:00:00,fr
70,479815,17,Touch,Little Mix,96248,https://open.spotify.com/track/5Ua3GXyHwiSfpNT...,2017-03-31 00:00:00,ph
71,139245,46,Django,Dadju,77111,https://open.spotify.com/track/51PPDB9v8QOMkiU...,2017-11-25 00:00:00,fr
72,610504,106,Cake By The Ocean,DNCE,4889,https://open.spotify.com/track/2aFiaMXmWsM3Vj7...,2017-01-01 00:00:00,nz
73,401574,175,Vietato morire,Ermal Meta,13228,https://open.spotify.com/track/681fNvwhF5pF9sY...,2017-06-05 00:00:00,it
74,893086,172,6 AM (Remix),Enzo Ortiz,2194,https://open.spotify.com/track/3WHqVVRvPDWz033...,2017-02-11 00:00:00,cr
75,546207,9,Castle on the Hill,Ed Sheeran,15127,https://open.spotify.com/track/6PCUP3dWmTjcTtX...,2017-02-20 00:00:00,tw
76,145609,10,Bling Bling,Kaaris,97760,https://open.spotify.com/track/4s7OqcUEyLJ1Rkb...,2017-12-27 00:00:00,fr
77,869079,10,Ahora Dice,Chris Jeday,4543,https://open.spotify.com/track/22eADXu8DfOAUED...,2017-08-30 00:00:00,sv
78,1044724,10,Vacaciones,Wisin,86922,https://open.spotify.com/track/3dQDid3IUNhZy1O...,2017-02-28 00:00:00,cl
79,28007,8,Una Lady Como Tú,Manuel Turizo,14464,https://open.spotify.com/track/7MHN1aCFtLXjown...,2017-05-21 00:00:00,ec
80,54008,9,Una Lady Como Tú,Manuel Turizo,14966,https://open.spotify.com/track/7MHN1aCFtLXjown...,2017-10-01 00:00:00,ec
81,306207,8,Alone,Alan Walker,92447,https://open.spotify.com/track/0JiVRyTJcJnmlwC...,2017-02-17 00:00:00,no
